uid,name,phone,region_id,area_id,distributor_id,territory_id,points,routes,notes
R0000001,Retailer 1,01100000001,c8c3ed5b-d5af-4b79-839c-bf8096895f0e,72741089-45de-4a98-8e88-46ae6bfcd848,576f71a1-d21f-467a-bafd-6bf73f72a4da,5d2ce337-a4ce-48dd-9850-4e0139d6a9dc,36,Route B,Note 1
R0000002,Retailer 2,01100000002,c8c3ed5b-d5af-4b79-839c-bf8096895f0e,72741089-45de-4a98-8e88-46ae6bfcd848,576f71a1-d21f-467a-bafd-6bf73f72a4da,42f1fa46-c8f6-43cc-819a-e4a4daaa6147,90,Route C,Note 2
R0000003,Retailer 3,01100000003,441f4f6b-5cda-4239-904e-06ae22a6ef95,f97f79e5-6503-4ae8-82ef-a3ca7bc40fb9,4a3cb162-ffce-46d7-94fa-bc62259174b0,bae8b0d6-57ce-408d-9dc1-6d0870553927,28,Route D,Note 3
R0000004,Retailer 4,01100000004,c8c3ed5b-d5af-4b79-839c-bf8096895f0e,72741089-45de-4a98-8e88-46ae6bfcd848,576f71a1-d21f-467a-bafd-6bf73f72a4da,5d2ce337-a4ce-48dd-9850-4e0139d6a9dc,50,Route E,Note 4
R0000005,Retailer 5,01100000005,441f4f6b-5cda-4239-904e-06ae22a6ef95,f97f79e5-6503-4ae8-82ef-a3ca7bc40fb9,4a3cb162-ffce-46d7-94fa-bc62259174b0,bae8b0d6-57ce-408d-9dc1-6d0870553927,1,Route F,Note 5
R0000006,Retailer 6,01100000006,441f4f6b-5cda-4239-904e-06ae22a6ef95,f97f79e5-6503-4ae8-82ef-a3ca7bc40fb9,4a3cb162-ffce-46d7-94fa-bc62259174b0,bae8b0d6-57ce-408d-9dc1-6d0870553927,98,Route G,Note 6
R0000007,Retailer 7,01100000007,c8c3ed5b-d5af-4b79-839c-bf8096895f0e,72741089-45de-4a98-8e88-46ae6bfcd848,576f71a1-d21f-467a-bafd-6bf73f72a4da,5d2ce337-a4ce-48dd-9850-4e0139d6a9dc,46,Route H,Note 7
R0000008,Retailer 8,01100000008,441f4f6b-5cda-4239-904e-06ae22a6ef95,f97f79e5-6503-4ae8-82ef-a3ca7bc40fb9,4a3cb162-ffce-46d7-94fa-bc62259174b0,bae8b0d6-57ce-408d-9dc1-6d0870553927,25,Route I,Note 8
R0000009,Retailer 9,01100000009,c8c3ed5b-d5af-4b79-839c-bf8096895f0e,72741089-45de-4a98-8e88-46ae6bfcd848,576f71a1-d21f-467a-bafd-6bf73f72a4da,42f1fa46-c8f6-43cc-819a-e4a4daaa6147,8,Route J,Note 9
R0000010,Retailer 10,01100000010,441f4f6b-5cda-4239-904e-06ae22a6ef95,f97f79e5-6503-4ae8-82ef-a3ca7bc40fb9,4a3cb162-ffce-46d7-94fa-bc62259174b0,bae8b0d6-57ce-408d-9dc1-6d0870553927,77,Route K,Note 10
R0000011,Retailer 11,01100000011,441f4f6b-5cda-4239-904e-06ae22a6ef95,f97f79e5-6503-4ae8-82ef-a3ca7bc40fb9,4a3cb162-ffce-46d7-94fa-bc62259174b0,bae8b0d6-57ce-408d-9dc1-6d0870553927,36,Route L,Note 11
R0000012,Retailer 12,01100000012,c8c3ed5b-d5af-4b79-839c-bf8096895f0e,72741089-45de-4a98-8e88-46ae6bfcd848,576f71a1-d21f-467a-bafd-6bf73f72a4da,5d2ce337-a4ce-48dd-9850-4e0139d6a9dc,18,Route M,Note 12
R0000013,Retailer 13,01100000013,441f4f6b-5cda-4239-904e-06ae22a6ef95,f97f79e5-6503-4ae8-82ef-a3ca7bc40fb9,769d78cc-cefa-4ce5-9682-cc9c9382be5c,bae8b0d6-57ce-408d-9dc1-6d0870553927,88,Route N,Note 13
R0000014,Retailer 14,01100000014,441f4f6b-5cda-4239-904e-06ae22a6ef95,f97f79e5-6503-4ae8-82ef-a3ca7bc40fb9,4a3cb162-ffce-46d7-94fa-bc62259174b0,bae8b0d6-57ce-408d-9dc1-6d0870553927,48,Route O,Note 14
R0000015,Retailer 15,01100000015,441f4f6b-5cda-4239-904e-06ae22a6ef95,f97f79e5-6503-4ae8-82ef-a3ca7bc40fb9,769d78cc-cefa-4ce5-9682-cc9c9382be5c,bae8b0d6-57ce-408d-9dc1-6d0870553927,78,Route P,Note 15
